name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;datePremiered;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numOfPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;numOfSpeakersFemaleAndMale
achat-ein-april-scherz;ger000637;Q121463020;Achat;0;Ein April-Scherz;Original-Lustspiel in einem Akt;Comedy;https://books.google.com/books?id=qHNIAQAAMAAJ&pg=PA45;Vereins-Buchhandlung;Berlin;1842;30;1842;6;FALSCH;8,44E+15;8;12;fraeulein|rittmeister;4;2;;;1842;5;6;3;3;0;0;1;12;;22;0;0;6888;6681;411;518;0;equal
adolph-am-ersten-mai;ger000569;Q111795417;Adolph;0;Am ersten Mai;Eine Tragikomödie der Arbeit aus Friedenstagen;;https://www.projekt-gutenberg.org/adolph/am1mai/index.html;;;;;1919;7;FALSCH;7,38E+14;6,19E+15;1,38E+15;mieter;3,71E+16;2;;1920;1919;6;7;2;5;0;0;1;13;;18;0;0;7696;7438;998;244;2;not equal
alberti-brot;ger000171;Q51370104;Alberti;0;Brot!;Ein soziales Schauspiel in fünf Akten;;http://www.textgridrep.org/textgrid:jkjf.0;;;;;1888;49;FALSCH;8,50E+15;3,13E+15;1,75E+15;muenzer;1,50E+16;3;;;1888;40;49;7;24;18;21;1;368;1888;36;0;5;28744;26008;1771;797;12;not equal
alberti-im-suff;ger000041;Q51370930;Alberti;0;Im Suff;Naturalistische Spital-Katastrophe in zwei Vorgängen und einem Nachgang;;http://www.textgridrep.org/textgrid:jkjb.0;;;;;1890;14;FALSCH;9,64E+15;5,27E+15;1,06E+16;several characters;6,86E+15;2;;;1890;9;14;3;10;1;1;2;48;;4;0;0;12497;11454;4016;365;191;not equal
alexander-die-verpfaendung;ger000630;Q120646668;Alexander;0;Die Verpfändung;Ein Schauspiel in einem Aufzuge;;https://books.google.com/books?id=3GxUAAAAcAAJ&printsec=frontcover;Neumann;Brünn;1779;45;1779;13;FALSCH;6,55E+15;4,62E+16;1,63E+16;robert;5,54E+15;3;;;1779;10;13;2;11;0;0;1;36;;15;0;0;6667;6295;740;197;0;not equal
andre-cremeri-die-leiden-des-jungen-werthers;ger000731;Q134706903;André;1;Die Leiden des Jungen Werthers;Ein Trauerspiel in drey Aufzügen, fürs deutsche Theater. ganz aus dem Original gezogen;Tragedy;https://books.google.com/books?id=BbxWAAAAcAAJ&printsec=frontcover;Garbe;Frankfurt am Mayn;1776;62;1776;8;FALSCH;7,80E+15;4,29E+16;1,57E+16;werther;3;2;;;1776;7;8;3;5;0;0;1;12;;18;0;3;7253;6570;1316;184;0;not equal
andre-der-comoedienfeind;ger000525;Q105436023;André;0;Der Comödienfeind;Ein Lustspiel in einem Aufzuge;Comedy;https://books.google.com/books?id=hOtRhHivrfQC&printsec=frontcover;Weiß;Offenbach am Mayn;1765;48;1765;6;FALSCH;1;1;1;several characters;5;1;;;1765;5;6;2;4;0;0;1;15;;9;0;0;5712;5614;552;225;0;not equal
angely-prinz-tu-ta-tu;ger000576;Q111976082;Angely;0;Prinz Tu-Ta-Tu;Burleske mit Gesang nach Sauvage;Comedy;https://de.wikisource.org/wiki/Prinz_Tu-Ta-Tu;Magazin für Buchhandel, Musik und Kunst;Hamburg;1836;53;1835;8;FALSCH;8,90E+15;8,21E+15;1,18E+16;chor_volk|gululi;575;2;###############################################################################################################################################################################################################################################################;1835;1836;7;8;1;6;1;1;1;23;;13;0;0;7873;7416;894;342;124;not equal
anonym-amalie-und-charlotte-baronessen-von-habenichts;ger000639;Q121592940;(Anonym);0;Amalie und Charlotte Baronessen von Habenichts: oder die ungleichen Schwestern;Ein deutsches Lustspiel von einer Handlung;Comedy;https://haab-digital.klassik-stiftung.de/viewer/resolver?urn=urn:nbn:de:gbv:32-1-10003508625;Friedrich Lankischens Erben;Frankfurt und Leipzig;1754;45;1754;11;FALSCH;7,67E+14;5,64E+15;1,44E+16;amalie;5,64E+15;2;;;1754;10;11;4;7;0;0;1;31;;21;0;0;8573;8336;480;252;7;not equal
anonym-das-ehrenmaal-des-patrioten;ger000642;Q121699218;(Anonym);0;Das Ehrenmaal des Patrioten;Singspiel;;https://books.google.com/books?id=6A5SAAAAcAAJ&printsec=frontcover;;München;1774;12;1774;6;FALSCH;1;1;1;several characters;5;1;###############################################################################################################################################################################################################################################################;1774;1774;5;6;0;2;4;2;1;15;;1;0;0;1191;986;9;0;182;not equal
anonym-das-lustlager;ger000631;Q120648353;(Anonym);0;Das Lustlager;Schauspiel in einer Handlung;;https://books.google.com/books?id=71RZAAAAcAAJ&printsec=frontcover;;Frankfurt und Leipzig;1778;62;1778;11;FALSCH;8,69E+15;7,82E+15;1,22E+16;rittmeister|friedrich_friederich;7,82E+15;2;;;1778;10;11;4;7;0;0;1;43;;17;0;0;5395;5249;73;367;0;not equal
anonym-das-muenchner-spiel-vom-sterbenden-menschen;ger000698;Q125345502;(Anonym);0;Das Münchner Spiel vom sterbenden Menschen;;;http://www.textgridrep.org/textgrid:jnhn.0;Hiersemann;Leipzig;1927;61;1510;31;FALSCH;1;1;1;several characters;30;1;;;1510;30;31;1;19;12;9;1;465;;1;0;0;15681;15072;1128;0;1848;not equal
anonym-das-urtheil-des-paris;ger000624;Q119779327;(Anonym);0;Das Urtheil des Paris;Ein Musicalisches Schäfer-Spiel in einer Handlung;;https://de.wikisource.org/wiki/Das_Urtheil_des_Paris;Haude und Spener;Berlin;1752;37;1752;6;FALSCH;1;1;1;several characters;5;1;;;1752;5;6;3;3;0;0;1;15;;6;0;0;1969;1454;107;0;228;equal
anonym-der-deutsche-student;ger000588;Q112943724;(Anonym);0;Der deutsche Student;Ein Trauerspiel in fünf Aufzügen;Tragedy;https://books.google.com/books?id=F7XPW3ReAeIC&printsec=frontcover;Lemke;Lüneburg;1779;48;1779;20;FALSCH;6,43E+15;1,79E+16;1,92E+16;waker;34;3;;;1779;14;20;3;17;0;1;2;34;;25;0;5;5452;5182;310;190;7;not equal
anonym-der-von-der-liebe-betrogene-philosoph;ger000682;Q124791412;(Anonym);0;Der von der Liebe betrogene Philosoph;Ein Lustspiel von einem Aufzuge aus dem Französischen des Herrn Saintfoix übersezt;Comedy;https://books.google.com/books?id=EBtaAAAAcAAJ&printsec=frontcover;Monath;Frankfurt und Leipzig;1750;40;1750;6;FALSCH;1;1;1;several characters;5;1;;;1750;5;6;3;3;0;0;1;15;;21;0;0;8264;7962;527;258;12;equal
anonym-die-gedruckten-theater-regeln;ger000663;Q124042831;(Anonym);0;Die gedruckten Theater-Regeln, oder: Welcher Stand ist beßer?;Ein höchst nöthiger Versuch in einem Aufzuge von ***;;https://books.google.com/books?id=hgYRSaGmi1EC&printsec=frontcover;;;1779;51;1779;8;FALSCH;7,77E+15;7,14E+15;1,29E+16;sternfreund;5;2;;;1779;7;8;2;6;0;0;1;20;;13;0;0;6991;6682;136;177;0;not equal
anonym-die-gespenster;ger000640;Q121599107;(Anonym);0;Die Gespenster;Funfzehntes Sprüchwort;;https://books.google.com/books?id=Ob1CAQAAMAAJ&pg=PA187;Himburg;Berlin;1775;18;1770;4;FALSCH;1;1;1;several characters;3;1;;;1770;3;4;1;3;0;0;1;6;;9;0;0;2956;2807;150;86;0;not equal
anonym-die-grands-von-frankreich-in-ihrer-wahren-gestalt;ger000667;Q124262137;(Anonym);0;Die Grands von Frankreich in ihrer wahren Gestalt;Ein Banditenspiel in einem Act;;https://books.google.com/books?id=AO5YAAAAcAAJ&pg=PA1;Basse;Quedlinburg;1814;38;1814;18;FALSCH;7,67E+15;3,53E+16;1,80E+16;ein_chor_hinter_der_buehne;6;4;;;1814;14;18;1;17;0;2;1;54;;6;0;0;2524;2427;356;0;284;not equal
anonym-die-verhandelte-braut;ger000657;Q123764926;(Anonym);0;Die verhandelte Braut;Ein Lustspiel in einem Aufzuge;Comedy;https://books.google.com/books?id=ezRJAAAAcAAJ&printsec=frontcover;Rüdiger;Berlin, Stettin und Leipzig;1760;19;1760;7;FALSCH;1;1;1;several characters;6;1;;;1760;6;7;3;4;0;0;1;21;;8;0;0;2563;2495;60;118;0;not equal
anonym-die-weiber-list;ger000661;Q123991581;(Anonym);0;Die Weiber-List;Ein Lustspiel in einer Handlung;Comedy;https://books.google.com/books?id=eDFJAAAAcAAJ&printsec=frontcover;;Frankfurt und Leipzig;1753;24;1743;5;FALSCH;8,67E+15;8;12;frau_steffen|cathrine;32;2;;;1743;4;5;2;3;0;0;1;8;;16;0;0;4031;3866;170;0;452;not equal
anonym-emilie-oder-die-philosophisch-verliebten;ger000634;Q121344428;(Anonym);0;Emilie oder die Philosophisch-Verliebten;Ein Lustspiel von einem Aufzuge;Comedy;https://books.google.com/books?id=ZMMcQO90oRgC&printsec=frontcover;Holle;Leipzig;1770;88;1770;6;FALSCH;9,33E+15;9,33E+15;1,07E+16;several characters;4,67E+15;2;;;1770;5;6;3;3;0;0;1;14;;20;0;0;12903;12747;206;367;0;equal
anzengruber-das-vierte-gebot;ger000129;Q1171707;Anzengruber;0;Das vierte Gebot;Volksstück in vier Akten;;http://www.textgridrep.org/textgrid:jn5z.0;;;;;1877;32;FALSCH;7,73E+15;2,90E+15;1,85E+16;martin;9;4;;1877;1878;24;32;8;23;1;1;1;144;;40;1;4;19774;18773;4092;780;0;not equal
anzengruber-der-gwissenswurm;ger000120;Q1194083;Anzengruber;0;Der Gwissenswurm;Bauernkomödie mit Gesang in drei Akten;Comedy;http://www.textgridrep.org/textgrid:jn6k.0;;;;;1874;15;FALSCH;7,85E+14;4;1,47E+16;dusterer;56;2;;1874;1874;12;15;5;9;1;3;2;42;;34;1;3;17114;16392;2269;640;124;not equal
anzengruber-der-meineidbauer;ger000054;Q1195757;Anzengruber;0;Der Meineidbauer;Volksstück mit Gesang in drei Akten;;http://www.textgridrep.org/textgrid:jn65.0;;;;;1871;22;FALSCH;8,34E+15;2,60E+15;2,04E+15;vroni;5,45E+15;4;###############################################################################################################################################################################################################################################################;1871;1871;14;22;10;12;0;0;1;60;;26;1;3;24566;23650;2756;556;73;not equal
anzengruber-der-pfarrer-von-kirchfeld;ger000337;Q5261190;Anzengruber;0;Der Pfarrer von Kirchfeld;Volksstück mit Gesang in vier Akten;;http://www.textgridrep.org/textgrid:jn73.0;Cotta;Stuttgart;1898;98;1870;22;FALSCH;7,78E+14;4,03E+15;1,75E+15;schulmeister;8,45E+15;3;;1870;1871;18;22;3;14;5;8;1;93;1869;26;1;4;22589;21372;2473;626;68;not equal
anzengruber-die-kreuzelschreiber;ger000304;Q1214035;Anzengruber;0;Die Kreuzelschreiber;Bauernkomödie mit Gesang in drei Akten;Comedy;http://www.textgridrep.org/textgrid:jn6f.0;;;;;1872;23;FALSCH;8,44E+15;5,77E+15;1,53E+16;steinklopferhanns;1,27E+16;3;;1872;1872;20;23;5;14;4;6;1;146;;23;1;3;18895;17819;3830;651;237;not equal
anzengruber-heimgfunden;ger000039;Q51371015;Anzengruber;0;Heimg'funden;Wiener Weihnachtskomödie in drei Akten;Comedy;http://www.textgridrep.org/textgrid:jn6r.0;Cotta;Stuttgart;1898;124;1885;30;FALSCH;8,43E+15;3,10E+15;2,03E+16;thomas;9;3;;1885;1885;17;30;9;17;4;5;1;135;1884/1885;36;0;3;26742;25733;4313;869;34;not equal
